S. No.,Date,Month,Year,BSE Sensex Clsoing Price,Daily New Cases,Daily New Deaths,Daily New Cured,Complete LockDown imposed (Yes(1)/No(0)),Lockdown,Phase 1,Phase 2,Phase 3,Phase 4,Wave,People fully Vaccinated,CPI,Crude oil price,FII,DII,Exchange rate,Economic growth rate,Inflation,Repo,Reverse repo,IIP,Nasdaq
386,01-04-2021,4,2021,50029.83,72330,459,40382,0,0,0,0,0,0,2,305645,157.8,61.45,149.41,-296.84,73.32,12.55,4.23,4,3.35,126.7,13480.11035
390,05-04-2021,4,2021,49159.32,103558,478,52847,0,0,0,0,0,0,2,407292,157.8,58.65,-471.67,59.875,73.29,12.55,4.23,4,3.35,126.7,13705.58984
391,06-04-2021,4,2021,49201.39,96982,446,50143,0,0,0,0,0,0,2,306842,157.8,59.33,-1092.75,416.59,73.49,12.55,4.23,4,3.35,126.7,13698.37988
392,07-04-2021,4,2021,49661.76,115736,630,59856,0,0,0,0,0,0,2,295187,157.8,59.77,227.42,381.08,74.35,12.55,4.23,4,3.35,126.7,13688.83984
393,08-04-2021,4,2021,49746.21,126789,685,59258,0,0,0,0,0,0,2,442094,157.8,59.6,110.85,552.78,74.57,12.55,4.23,4,3.35,126.7,13829.30957
394,09-04-2021,4,2021,49591.32,131968,780,61899,0,0,0,0,0,0,2,433568,157.8,59.32,-653.51,-271.26,74.72,12.55,4.23,4,3.35,126.7,13900.19043
397,12-04-2021,4,2021,47883.38,168912,904,75086,0,0,0,0,0,0,2,548881,157.8,59.7,-1746.43,232.76,75.03,12.55,4.23,4,3.35,126.7,13850
398,13-04-2021,4,2021,48544.06,161736,879,97168,0,0,0,0,0,0,2,387618,157.8,60.18,-730.81,243.8,75.27,12.55,4.23,4,3.35,126.7,13996.09961
400,15-04-2021,4,2021,48803.68,200739,1038,93528,0,0,0,0,0,0,2,560215,157.8,63.46,979.7,-526.63,74.81,12.55,4.23,4,3.35,126.7,14038.75977
401,16-04-2021,4,2021,48832.03,217353,1185,118302,0,0,0,0,0,0,2,654903,157.8,63.13,437.51,657.55,74.48,12.55,4.23,4,3.35,126.7,14052.33984
404,19-04-2021,4,2021,47949.42,273810,1619,144178,0,0,0,0,0,0,2,989136,157.8,63.38,-1633.7,2355.56,74.87,12.55,4.23,4,3.35,126.7,13914.76953
405,20-04-2021,4,2021,47705.8,259170,1761,154761,0,0,0,0,0,0,2,251406,157.8,62.44,-1082.33,1323.01,75.38,12.55,4.23,4,3.35,126.7,13786.26953
407,22-04-2021,4,2021,48080.67,314835,2104,178841,0,0,0,0,0,0,2,1197595,157.8,61.43,-909.56,849.98,75.11,12.55,4.23,4,3.35,126.7,13818.41016
408,23-04-2021,4,2021,47878.45,332730,2263,193279,0,0,0,0,0,0,2,739942,157.8,62.14,-1360.76,1695.59,74.97,12.55,4.23,4,3.35,126.7,14016.80957
411,26-04-2021,4,2021,48386.51,352991,2812,219272,0,0,0,0,0,0,2,1248530,157.8,61.91,-1111.89,1022.57,74.75,12.55,4.23,4,3.35,126.7,14138.78027
412,27-04-2021,4,2021,48944.14,323144,2771,251827,0,0,0,0,0,0,2,977251,157.8,62.94,-1454.75,1463.44,74.58,12.55,4.23,4,3.35,126.7,14090.21973
413,28-04-2021,4,2021,49733.84,360960,3293,261162,0,0,0,0,0,0,2,899267,157.8,63.86,766.02,436.2,74.49,12.55,4.23,4,3.35,126.7,14051.03027
414,29-04-2021,4,2021,49765.94,379257,3645,269507,0,0,0,0,0,0,2,941651,157.8,65.01,809.37,-942.35,74.07,12.55,4.23,4,3.35,126.7,14082.54981
415,30-04-2021,4,2021,48782.36,386452,3498,297540,0,0,0,0,0,0,2,1164291,157.8,63.58,-3465.07,1419.31,74,12.55,4.23,4,3.35,126.7,13962.67969
418,03-05-2021,5,2021,48718.52,368147,3417,300732,0,0,0,0,0,0,2,878101,160.4,64.49,-2289.46,552.92,73.82,12.55,6.3,4,3.35,116.6,13895.12012
419,04-05-2021,5,2021,48253.51,357229,3449,320289,0,0,0,0,0,0,2,737372,160.4,65.69,-1772.37,987.34,73.8,12.55,6.3,4,3.35,116.6,13633.5
420,05-05-2021,5,2021,48677.55,382315,3780,338439,0,0,0,0,0,0,2,1077764,160.4,65.63,-1110.5,-240.61,73.81,12.55,6.3,4,3.35,116.6,13582.41992
421,06-05-2021,5,2021,48949.76,412262,3980,329113,0,0,0,0,0,0,2,1344116,160.4,64.71,1222.58,-632.51,73.64,12.55,6.3,4,3.35,116.6,13632.83984
422,07-05-2021,5,2021,49206.47,414188,3915,331507,0,0,0,0,0,0,2,1350460,160.4,64.9,-1142.75,1468.09,73.27,12.55,6.3,4,3.35,116.6,13752.24023
425,10-05-2021,5,2021,49502.41,366161,3754,353818,0,0,0,0,0,0,2,1456713,160.4,64.92,583.69,-476.26,73.41,12.55,6.3,4,3.35,116.6,13401.86035
426,11-05-2021,5,2021,49161.81,329942,3876,356082,0,0,0,0,0,0,2,1398393,160.4,65.28,-336,-676.67,73.39,12.55,6.3,4,3.35,116.6,13389.42969
427,12-05-2021,5,2021,48690.8,348421,4205,355338,0,0,0,0,0,0,2,935034,160.4,66.08,-1260.59,-704.36,73.53,12.55,6.3,4,3.35,116.6,13031.67969
429,14-05-2021,5,2021,48732.55,0,0,0,0,0,0,0,0,0,2,510695,160.4,65.37,-2607.85,613.26,73.23,12.55,6.3,4,3.35,116.6,13429.98047
432,17-05-2021,5,2021,49580.73,281386,4106,378741,0,0,0,0,0,0,2,240315,160.4,66.27,-2255.84,1948.48,73.3,12.55,6.3,4,3.35,116.6,13379.04981
433,18-05-2021,5,2021,50193.33,263533,4329,422436,0,0,0,0,0,0,2,194416,160.4,65.49,618.49,449.52,73.04,12.55,6.3,4,3.35,116.6,13303.63965
434,19-05-2021,5,2021,49902.64,267334,4529,389851,0,0,0,0,0,0,2,155592,160.4,63.36,-697.75,-852.52,73.2,12.55,6.3,4,3.35,116.6,13299.74023
435,20-05-2021,5,2021,49564.86,276110,3874,369077,0,0,0,0,0,0,2,185239,160.4,62.05,71.04,-876.06,73.03,12.55,6.3,4,3.35,116.6,13535.74023
436,21-05-2021,5,2021,50540.48,259551,4209,357295,0,0,0,0,0,0,2,180324,160.4,63.58,510.16,649.1,72.82,12.55,6.3,4,3.35,116.6,13470.99023
439,24-05-2021,5,2021,50651.9,222315,4454,302544,0,0,0,0,0,0,2,178154,160.4,66.05,585.36,-707.69,72.86,12.55,6.3,4,3.35,116.6,13661.16992
440,25-05-2021,5,2021,50637.53,196427,3511,326850,0,0,0,0,0,0,2,131194,160.4,66.07,959.77,-563.59,72.78,12.55,6.3,4,3.35,116.6,13657.16992
441,26-05-2021,5,2021,51017.52,208921,4157,295955,0,0,0,0,0,0,2,240574,160.4,66.21,241.6,-438.59,72.71,12.55,6.3,4,3.35,116.6,13738
442,27-05-2021,5,2021,51115.22,211298,3847,283135,0,0,0,0,0,0,2,183586,160.4,66.85,-660.9,112.38,72.59,12.55,6.3,4,3.35,116.6,13736.28027
443,28-05-2021,5,2021,51422.88,186364,3660,259459,0,0,0,0,0,0,2,141680,160.4,66.32,875.745,146.08,72.42,12.55,6.3,4,3.35,116.6,13748.74023
446,31-05-2021,5,2021,51937.44,152734,3128,238022,0,0,0,0,0,0,2,191700,160.4,66.96,2412.39,179.78,72.625,12.55,6.3,4,3.35,116.6,13742.61035
447,01-06-2021,6,2021,51934.88,127510,2795,255287,0,0,0,0,0,0,2,291748,161.3,67.72,-449.86,230.49,72.83,12.55,6.26,4,3.35,116.6,13736.48047
448,02-06-2021,6,2021,51849.48,132788,3207,231456,0,0,0,0,0,0,2,260784,161.3,68.83,921.1,241.76,72.97,12.55,6.26,4,3.35,116.6,13756.33008
449,03-06-2021,6,2021,52232.43,134154,2887,211499,0,0,0,0,0,0,2,236125,161.3,68.81,1079.2,-278.97,73.01,12.55,6.26,4,3.35,116.6,13614.50977
450,04-06-2021,6,2021,52100.05,132364,2713,207071,0,0,0,0,0,0,2,387353,161.3,69.62,1499.37,-1175.01,72.87,12.55,6.26,4,3.35,116.6,13814.49023
453,07-06-2021,6,2021,52328.51,100636,2427,174399,0,0,0,0,0,0,2,223732,161.3,69.23,-186.46,983.97,72.8,12.55,6.26,4,3.35,116.6,13881.71973
454,08-06-2021,6,2021,52275.57,86498,2123,182282,0,0,0,0,0,0,2,327962,161.3,70.05,1422.71,-1626.98,72.93,12.55,6.26,4,3.35,116.6,13924.91016
455,09-06-2021,6,2021,51941.64,92596,2219,162664,0,0,0,0,0,0,2,317090,161.3,69.96,1376.205,-1101.085,72.98,12.55,6.26,4,3.35,116.6,13911.75
456,10-06-2021,6,2021,52300.47,94052,6148,151367,0,0,0,0,0,0,2,321782,161.3,70.29,1329.7,-575.19,73.1,12.55,6.26,4,3.35,116.6,14020.33008
457,11-06-2021,6,2021,52474.76,91702,3403,134580,0,0,0,0,0,0,2,331682,161.3,70.91,18.64,666.36,73.24,12.55,6.26,4,3.35,116.6,14069.41992
460,14-06-2021,6,2021,52551.53,70421,3921,119501,0,0,0,0,0,0,2,331737,161.3,70.88,-503.51,544.26,73.16,12.55,6.26,4,3.35,116.6,14174.13965
461,15-06-2021,6,2021,52773.05,60471,2726,117525,0,0,0,0,0,0,2,285077,161.3,72.12,633.69,-649.29,73.35,12.55,6.26,4,3.35,116.6,14072.86035
462,16-06-2021,6,2021,52501.98,62224,2542,107628,0,0,0,0,0,0,2,408555,161.3,72.15,-870.29,-874.2,73.31,12.55,6.26,4,3.35,116.6,14039.67969
463,17-06-2021,6,2021,52323.33,67208,2330,103570,0,0,0,0,0,0,2,534111,161.3,71.04,-879.73,45.24,74.16,12.55,6.26,4,3.35,116.6,14161.34961
464,18-06-2021,6,2021,52344.45,62480,1587,88977,0,0,0,0,0,0,2,395886,161.3,71.64,2680.57,446.2,74.14,12.55,6.26,4,3.35,116.6,14030.37988
467,21-06-2021,6,2021,52574.46,53256,1422,78190,0,0,0,0,0,0,2,823813,161.3,73.66,-1244.71,138.09,74.18,12.55,6.26,4,3.35,116.6,14141.48047
468,22-06-2021,6,2021,52588.71,42640,1167,81839,0,0,0,0,0,0,2,700140,161.3,73.06,-1027.94,302.45,74.37,12.55,6.26,4,3.35,116.6,14253.26953
469,23-06-2021,6,2021,52306.08,50848,1358,68817,0,0,0,0,0,0,2,380549,161.3,73.08,3156.53,1317.2,74.13,12.55,6.26,4,3.35,116.6,14271.73047
470,24-06-2021,6,2021,52699,78292,2004,101114.5,0,0,0,0,0,0,2,752015,161.3,73.3,-2890.94,1138.76,74.14,12.55,6.26,4,3.35,116.6,14369.70996
471,25-06-2021,6,2021,52925.04,105736,2650,133412,0,0,0,0,0,0,2,899788,161.3,74.05,-678.84,1832.76,74.14,12.55,6.26,4,3.35,116.6,14360.38965
474,28-06-2021,6,2021,52735.59,46148,979,58578,0,0,0,0,0,0,2,763711,161.3,72.91,-1658.72,1277.08,74.29,12.55,6.26,4,3.35,116.6,14500.50977
475,29-06-2021,6,2021,52549.66,37566,907,56994,0,0,0,0,0,0,2,1368102,161.3,72.98,116.63,1810.05,74.29,12.55,6.26,4,3.35,116.6,14528.33008
476,30-06-2021,6,2021,52482.71,45951,817,60729,0,0,0,0,0,0,2,502204,161.3,73.47,-1646.66,1520.18,74.33,12.55,6.26,4,3.35,116.6,14503.9502
477,01-07-2021,7,2021,52318.6,48786,1005,61588,0,0,0,0,0,0,2,1300452,162.5,75.23,-1245.29,880.6,74.56,12.55,5.59,4,3.35,116.6,14522.37988
478,02-07-2021,7,2021,52484.67,46617,853,59384,0,0,0,0,0,0,2,284215,162.5,75.16,-982.8,930.39,74.51,12.55,5.59,4,3.35,116.6,14639.33008
481,05-07-2021,7,2021,52880,39796,723,42352,0,0,0,0,0,0,2,1554455,162.5,76.25,-338.43,645.59,74.545,12.55,5.59,4,3.35,116.6,14651.48486
482,06-07-2021,7,2021,52861.18,34703,553,51864,0,0,0,0,0,0,2,1047350,162.5,73.37,-543.3,521.3,74.58,12.55,5.59,4,3.35,116.6,14663.63965
483,07-07-2021,7,2021,53054.76,43733,930,47240,0,0,0,0,0,0,2,1360917,162.5,72.2,532.94,-231.8,74.81,12.55,5.59,4,3.35,116.6,14665.05957
484,08-07-2021,7,2021,52568.94,45892,817,44291,0,0,0,0,0,0,2,3426303,162.5,72.94,-554.92,-949.18,74.76,12.55,5.59,4,3.35,116.6,14559.78027
485,09-07-2021,7,2021,52386.19,43393,911,44459,0,0,0,0,0,0,2,1274389.5,162.5,74.56,-1124.65,106.55,74.53,12.55,5.59,4,3.35,116.6,14701.91992
488,12-07-2021,7,2021,52372.69,37154,724,39649,0,0,0,0,0,0,2,1521216,162.5,74.1,-745.97,447.42,74.56,12.55,5.59,4,3.35,116.6,14733.24023
489,13-07-2021,7,2021,52769.73,31443,2020,49007,0,0,0,0,0,0,2,1455531,162.5,75.25,113.83,344.19,74.51,12.55,5.59,4,3.35,116.6,14677.65039
490,14-07-2021,7,2021,52904.05,40255,624,41000,0,0,0,0,0,0,2,1500593,162.5,73.13,-1303.95,1335.91,74.54,12.55,5.59,4,3.35,116.6,14644.9502
491,15-07-2021,7,2021,53158.85,41806,581,39130,0,0,0,0,0,0,2,1416589,162.5,71.65,-264.77,439.41,74.55,12.55,5.59,4,3.35,116.6,14543.12988
492,16-07-2021,7,2021,53140.06,38949,542,40026,0,0,0,0,0,0,2,1803075,162.5,71.81,-466.3,666.07,74.61,12.55,5.59,4,3.35,116.6,14427.24023
495,19-07-2021,7,2021,52553.4,38164,499,38660,0,0,0,0,0,0,2,1207832.5,162.5,66.42,-2198.71,1047.66,74.85,12.55,5.59,4,3.35,116.6,14274.98047
496,20-07-2021,7,2021,52198.51,72108,4372,82231,0,0,0,0,0,0,2,1302625,162.5,67.42,-2834.96,873.14,74.6,12.55,5.59,4,3.35,116.6,14498.87988
498,22-07-2021,7,2021,52837.21,41383,507,38652,0,0,0,0,0,0,2,1879940,162.5,71.91,-247.59,942.55,74.46,12.55,5.59,4,3.35,116.6,14684.59961
499,23-07-2021,7,2021,52975.8,97462.5,1243.5,94209.5,0,0,0,0,0,0,2,1590566,162.5,72.07,-163.31,2187.8,74.44,12.55,5.59,4,3.35,116.6,14836.99023
502,26-07-2021,7,2021,52852.27,153542,1980,149767,0,0,0,0,0,0,2,2002952,162.5,71.91,-2376.79,1551.27,74.35,12.55,5.59,4,3.35,116.6,14840.70996
503,27-07-2021,7,2021,52578.76,29689,415,42363,0,0,0,0,0,0,2,1436352,162.5,71.65,-1459.08,729.96,74.5,12.55,5.59,4,3.35,116.6,14660.58008
504,28-07-2021,7,2021,52443.71,43654,640,41678,0,0,0,0,0,0,2,1328388,162.5,72.39,-2274.77,921.45,74.52,12.55,5.59,4,3.35,116.6,14762.58008
505,29-07-2021,7,2021,52653.07,43509,640,38465,0,0,0,0,0,0,2,1732029,162.5,73.62,-866.26,2046.96,74.25,12.55,5.59,4,3.35,116.6,14778.25977
506,30-07-2021,7,2021,52586.84,82294,700,68104,0,0,0,0,0,0,2,1805151,162.5,73.95,-3848.31,2956.68,74.34,12.55,5.59,4,3.35,116.6,14672.67969
